HOMEODDS,HOMEPREDICTION,AWAYODDS,AWAYPREDICTION,RESULT
1.6,0.43889618,2.44,0.56110376,0.0
1.93,0.44332454,1.93,0.5566755,0.0
1.77,0.5727749,2.13,0.42722505,1.0
2.2,0.49266925,1.72,0.5073308,0.0
1.54,0.699966,2.6,0.30003408,1.0
1.52,0.55840176,2.63,0.44159833,0.0
1.84,0.47130346,2.03,0.52869654,0.0
1.87,0.5898277,1.99,0.41017225,1.0
1.37,0.64737475,3.26,0.3526253,1.0
2.06,0.6108961,1.81,0.38910392,1.0
1.76,0.6473171,2.14,0.3526829,0.0
2.1,0.6078422,1.78,0.39215782,0.0
1.81,0.40565127,2.05,0.5943487,0.0
1.8,0.58464617,2.09,0.4153538,0.0
1.86,0.45970196,2.01,0.54029804,1.0
2.15,0.5257857,1.76,0.4742143,1.0
2.12,0.46519372,1.77,0.53480625,0.0
1.38,0.61730695,3.24,0.38269308,0.0
2.05,0.6185561,1.82,0.38144395,0.0
1.68,0.62821937,2.29,0.37178066,1.0
2.23,0.64280885,1.7,0.35719118,1.0
1.75,0.43859875,2.16,0.5614012,1.0
1.82,0.5474902,2.07,0.45250988,1.0
1.87,0.5473753,2.0,0.45262468,1.0
1.73,0.6467488,2.19,0.3532512,0.0
1.57,0.5684601,2.53,0.43153992,1.0
2.03,0.47383547,1.85,0.5261646,1.0
1.5,0.6211244,2.7,0.37887555,1.0
2.23,0.58019173,1.71,0.41980824,0.0
1.38,0.620375,3.24,0.37962502,0.0
2.25,0.5669975,1.69,0.43300253,0.0
1.95,0.50009006,1.91,0.49990994,0.0
1.54,0.6441848,2.61,0.3558152,1.0
1.75,0.6790032,2.16,0.32099685,1.0
1.67,0.65834796,2.3,0.34165198,1.0
2.15,0.46218348,1.76,0.5378166,0.0
1.74,0.65183884,2.17,0.3481612,0.0
1.94,0.60692465,1.91,0.39307535,0.0
2.11,0.5734045,1.78,0.4265955,0.0
1.38,0.585699,3.26,0.41430098,1.0
1.71,0.5976839,2.23,0.4023161,1.0
1.73,0.62521255,2.19,0.37478742,1.0
2.32,0.5378407,1.66,0.4621593,0.0
1.86,0.699803,2.0,0.30019695,1.0
1.59,0.5685472,2.48,0.4314528,1.0
1.75,0.642469,2.15,0.3575311,0.0
1.67,0.6875705,2.29,0.31242946,1.0
1.86,0.54254454,1.98,0.4574555,0.0
2.11,0.52962357,1.78,0.47037637,0.0
1.53,0.66954345,2.63,0.33045653,1.0
1.58,0.59771997,2.49,0.40228003,1.0
